Nama_Provinsi;Kepadatan_Penduduk
Aceh;91
Sumatera Utara;203
Sumatera Barat;132
Riau;73
Jambi;71
Sumatera Selatan;92
Bengkulu;101
Lampung;260
Kepulauan Bangka Belitung;89
Kepulauan Riau;252
DKI Jakarta;15907
Jawa Barat;1365
Jawa Tengah;1113
DI Yogyakarta;1171
Jawa Timur;851
Banten;1232
Bali;747
Nusa Tenggara Barat;286
Nusa Tenggara Timur;109
Kalimantan Barat;37
Kalimantan Tengah;17
Kalimantan Selatan;105
Kalimantan Timur;29
Kalimantan Utara;9
Sulawesi Utara;189
Sulawesi Tengah;48
Sulawesi Selatan;194
Sulawesi Tenggara;69
Gorontalo;104
Sulawesi Barat;85
Maluku;39
Maluku Utara;40
Papua Barat;11
